name,url,path,aliases,tags
dad,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dad.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dad.opus,,
dalaran,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dalaran.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dalaran.opus,"citizensofdalaran, rhonin",wow
dam,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dam.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dam.opus,,
damn,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/damn.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/damn.opus,,
dancinglobsters,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dancinglobsters.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dancinglobsters.opus,,
dangerzone,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dangerzone.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dangerzone.opus,,
dank,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/dank.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/dank.opus,2dank4u,
darkdimension,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/darkdimension.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/darkdimension.opus,,prozd
darklord,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/darklord.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/darklord.opus,,
darkness,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/darkness.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/darkness.opus,,
datBoi,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/datBoi.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/datBoi.opus,boi,
davinci,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/davinci.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/davinci.opus,,
ddduel,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/ddduel.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/ddduel.opus,"duel2, duelo","anime,yugioh"
deathsticks,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/deathsticks.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/deathsticks.opus,,starwars
decade,https://memebot.nyc3.cdn.digitaloceanspaces.com/memebot/audio/decade.opus,C:/Class Documents/DL/project/audio_data_downloader/memlife/decade.opus,,
